address,smart_contract_type,balance,address_annotation
0xafeb0ad2ef7567254473f2bf1c8b025dd9b9000d,Multisig,4394.990000000002,MultiSigWalletWithDailyLimit
0x24228f959974211e0413c08419dd1c7effe5340f,Multisig,4375.5681,MultiSigWalletWithDailyLimit
0xbe17d91c518f1743aa0556425421d59de0372766,Smart Contract,4360.6725,Parity Bug
0x398acb19dca90e917f33a0bb6253a283e7ce8a15,Multisig,4359.690102112865,MultiSigWallet
0x02bf424def13dcaba606493fc940ae432fb2283c,Multisig,4316.229875617107,MultiSigWalletWithDailyLimit
0x2a65aca4d5fc5b5c859090a6c34d164135398226,Wallet,4247.806254724227,"Mining, DwarfPool_1, Miner"
0x126d407584cf73ba5d15102bab0e578a64cca3f1,Wallet,4130.0015081,"Atlant_Wallet1, ICO Wallets"
0x146f2fba9eba1b72d5162a56e3e5da6c0f4808cc,Multisig,3931.4130050000044,"TracetoMultiSig, MultiSigWalletWithDailyLimit"
0x51ca21ed46a9df3cb6f34624cbd482d312996730,Multisig,3887.4441351755495,MultiSigWalletWithDailyLimit
0x9195ded617b464410cdda76f1cef758bcd2faa1b,Multisig,3827.97629,MultiSigWalletWithDailyLimit
0x132911521bf7a86a056e06ed65ef7e43fe9f861c,Wallet,3426.5285784224766,ì½ì¸ë¹ 2ì°¨ì§ê°
0x424e4fc465de37da1f8c91753e3ab4dac4d75747,Multisig,3381.3972999999964,MultiSigWalletWithDailyLimit
0xbd73e675e1fa3d60a302c797df5c82e558da7ce1,Token,3327.530680042941,PantheonEcoSystem
0x4d7c499581ea8512fc1b52900ef7f95e553ef8c7,Multisig,3300.05,MultiSigWalletWithDailyLimit
0xa86a60d53e6f474e049be54824551bb99f05adee,Multisig,3281.350067421637,"Etheroll, Etheroll_MultiSig2"
0x41849f3bd33ced4a21c73fddd4a595e22a3c2251,Smart Contract,3263.661855090447,Parity Bug
0x87a9678952b5d7a7bd450e4695d691e574e26a89,Multisig,3235.6348392209647,MultiSigWalletWithDailyLimit
0xbb73836846033f9d2b46977cf37bcbd6fca57dc3,Smart Contract,3070.4715442599995,MultiSig2of3
0x8655d6bf4abd2aa47a7a4ac19807b26b7609b61d,Smart Contract,3000.0,Parity Bug
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,Wallet,2965.686147887449,"Yunbi_2, Exchange Wallet"
0x67a57535b11445506a9e340662cd0c9755e5b1b4,Multisig,2944.250243890752,MultiSigWallet
0x36e6dadc5a045a86dbc9ecfeda5c459784d3537f,Wallet,2834.022744950001,"Atlant_Wallet2, ICO Wallets"
0xffb854de49f7de82af70b591804ae99160616404,Multisig,2832.0172468,MultiSigWalletWithDailyLimit
0x1d6b8ac8023c4858004313b4032519a5c652ed20,Multisig,2699.4302137374834,MultiSigWalletWithDailyLimit
0x5901deb2c898d5dbe5923e05e510e95968a35067,Multisig,2670.781889186433,SingularDTV_MultiSig
0x0da3cb3046f72fcbb49edf01b04ab6efc6c0d8dc,Smart Contract,2576.35360973657,Parity Bug
0x5afc06c035619654927614fac6bc1c0413715e59,Multisig,2525.5600000000004,MultiSigWalletWithDailyLimit
0x04696c970a3ff0a38454f02f471a3f95b8539fa0,Multisig,2462.83299,MultiSigWalletWithDailyLimit
0xd780ae2bf04cd96e577d3d014762f831d97129d0,Token,2441.670957359392,"EVNToken, https://www.envion.org/, Mining"
